Follower	Followee	Weight
6736	4995	1.0
13061	10599	1.0
13061	12212	1.0
13061	1249	1.0
10418	8827	1.0
10419	10818	1.0
10419	4197	1.0
10419	11396	1.0
10419	6609	1.0
11949	12647	1.0
14398	10712	1.0
14398	6056	1.0
14398	2039	1.0
14398	8769	1.0
14398	16770	1.0
14398	15298	1.0
14398	17828	1.0
22819	23588	1.0
208	1238	1.0
208	13103	1.0
208	5458	1.0
208	1249	1.0
208	12404	1.0
208	18300	1.0
208	846	1.0
208	6632	1.0
208	322	1.0
208	21019	1.0
208	8339	1.0
208	5724	1.0
208	4839	1.0
208	3293	1.0
208	1532	1.0
208	18713	1.0
208	11097	1.0
208	2266	1.0
6737	20386	1.0
6737	4241	1.0
6737	9807	1.0
3895	10126	1.0
3896	16694	1.0
209	10495	1.0
209	19853	1.0
20587	4599	1.0
20587	20007	1.0
20587	15562	1.0
20587	17186	1.0
20587	3735	1.0
20587	1249	1.0
20587	19510	1.0
20587	16058	1.0
6738	11295	1.0
6738	19501	1.0
6738	22189	1.0
16399	15787	1.0
16399	2750	1.0
19299	1249	1.0
10128	9371	1.0
6739	3121	1.0
12670	5824	1.0
12670	13472	1.0
12670	5629	1.0
12670	535	1.0
12670	7213	1.0
12670	12424	1.0
12670	10420	1.0
13062	2750	1.0
13062	7135	1.0
22759	2039	1.0
22759	1249	1.0
22759	5884	1.0
10420	12670	1.0
10420	3092	1.0
12289	20006	1.0
12289	11214	1.0
12289	17519	1.0
12289	17318	1.0
12289	5952	1.0
12289	5856	1.0
3897	8892	1.0
3897	3172	1.0
3897	8354	1.0
22329	18782	1.0
17721	4273	1.0
19689	1249	1.0
24082	12752	1.0
19300	14479	1.0
6740	16711	1.0
6740	22608	1.0
6740	9306	1.0
6740	13050	1.0
6741	2117	1.0
6741	7905	1.0
15602	1740	1.0
9960	14868	1.0
9960	6498	1.0
10421	5841	1.0
10422	5671	1.0
10422	1892	1.0
10422	9539	1.0
10422	6579	1.0
10422	3523	1.0
13063	14261	1.0
20198	13541	1.0
20198	13258	1.0
25526	25587	1.0
25526	25568	1.0
21080	18708	1.0
18620	917	1.0
22069	22424	1.0
22069	16080	1.0
22069	4239	1.0
3901	14470	1.0
3901	5461	1.0
1777	2814	1.0
21329	2039	1.0
6743	6070	1.0
23401	23023	1.0
15612	8749	1.0
15612	6247	1.0
15612	3393	1.0
15612	1249	1.0
15612	20410	1.0
15612	2514	1.0
15612	5842	1.0
211	5253	1.0
211	836	1.0
211	21302	1.0
211	1924	1.0
211	8329	1.0
211	2039	1.0
211	22443	1.0
211	9490	1.0
211	9404	1.0
3902	10708	1.0
3902	18987	1.0
3902	3705	1.0
3902	824	1.0
6744	12501	1.0
3903	12317	1.0
3903	2361	1.0
14737	18549	1.0
23646	751	1.0
23646	1249	1.0
23646	1837	1.0
23646	1082	1.0
25527	25587	1.0
25527	25578	1.0
25527	25568	1.0
25527	25528	1.0
10424	3541	1.0
10424	20040	1.0
10425	14782	1.0
10425	12775	1.0
10425	4990	1.0
10425	12325	1.0
15614	10941	1.0
15614	402	1.0
15614	17912	1.0
15614	908	1.0
22466	23822	1.0
19905	1249	1.0
19905	19423	1.0
19905	17608	1.0
3905	6161	1.0
3905	11138	1.0
3905	1249	1.0
3905	1067	1.0
3905	11772	1.0
3905	6826	1.0
13064	12533	1.0
13064	10803	1.0
13064	11716	1.0
13065	1269	1.0
13065	2207	1.0
13065	8275	1.0
25456	26	1.0
213	916	1.0
10426	240	1.0
10426	10311	1.0
24515	26	1.0
13066	2039	1.0
13066	1249	1.0
13066	19272	1.0
13067	7442	1.0
13067	7586	1.0
17723	12945	1.0
17723	12744	1.0
17723	3056	1.0
10427	19243	1.0
15616	22097	1.0
10428	16255	1.0
3906	23007	1.0
19301	14799	1.0
21661	21711	1.0
21661	22796	1.0
13522	21283	1.0
214	25042	1.0
214	3727	1.0
214	5766	1.0
214	1373	1.0
3907	14316	1.0
3907	10337	1.0
6746	7626	1.0
3908	5933	1.0
3908	10562	1.0
3908	13730	1.0
3908	11953	1.0
3908	12940	1.0
3908	10722	1.0
3908	274	1.0
3908	10709	1.0
3908	18997	1.0
26426	22923	1.0
21081	14742	1.0
21081	13411	1.0
21081	6892	1.0
21081	11178	1.0
15617	5253	1.0
15617	567	1.0
15617	800	1.0
15617	14663	1.0
15617	2489	1.0
15617	9862	1.0
15617	3538	1.0
15617	11924	1.0
15617	322	1.0
15617	15317	1.0
15617	19553	1.0
23102	8545	1.0
23900	3573	1.0
23900	2039	1.0
23900	2055	1.0
23900	4628	1.0
23900	23756	1.0
23900	14000	1.0
23900	24006	1.0
15618	12647	1.0
15618	2402	1.0
15618	21793	1.0
3909	11138	1.0
15619	15654	1.0
19862	6247	1.0
19862	12651	1.0
13068	7470	1.0
13068	23889	1.0
13068	25042	1.0
13068	3427	1.0
13068	5709	1.0
13068	10557	1.0
13068	10817	1.0
13068	4402	1.0
215	137	1.0
17724	16860	1.0
216	9844	1.0
216	1082	1.0
216	1844	1.0
102	1765	1.0
3911	12178	1.0
3911	4227	1.0
3911	20140	1.0
10431	18146	1.0
6748	7568	1.0
6748	6650	1.0
3912	5466	1.0
3912	3881	1.0
3912	344	1.0
3912	7368	1.0
3912	8451	1.0
19302	14201	1.0
19579	15694	1.0
10432	5917	1.0
21683	17347	1.0
21683	1249	1.0
6749	16523	1.0
6749	15212	1.0
13070	8560	1.0
13070	8010	1.0
13070	8164	1.0
13070	4149	1.0
13070	4868	1.0
13070	90	1.0
13070	3741	1.0
13070	2528	1.0
13070	12692	1.0
13070	17260	1.0
13070	7486	1.0
13070	17858	1.0
10433	15384	1.0
10433	7882	1.0
10433	7501	1.0
6750	11560	1.0
6750	3254	1.0
15621	15328	1.0
15621	1182	1.0
15621	14514	1.0
19784	18410	1.0
19784	6637	1.0
15622	9176	1.0
13071	8452	1.0
17725	3422	1.0
17725	9713	1.0
17725	7213	1.0
17725	4481	1.0
17725	11917	1.0
17725	11255	1.0
10911	10482	1.0
19303	2345	1.0
19303	454	1.0
19303	475	1.0
19303	5714	1.0
6752	9547	1.0
6752	898	1.0
6752	12098	1.0
6752	2676	1.0
6752	862	1.0
6752	8067	1.0
6752	5721	1.0
12053	2050	1.0
12671	12712	1.0
13073	1249	1.0
13073	16567	1.0
15623	17001	1.0
15624	15271	1.0
15624	7352	1.0
15624	20841	1.0
15624	899	1.0
15624	12960	1.0
15624	2452	1.0
15624	10067	1.0
15624	13792	1.0
15624	18745	1.0
6753	12012	1.0
6753	11143	1.0
3914	13079	1.0
3914	6247	1.0
3914	5346	1.0
3914	3056	1.0
3914	11327	1.0
3914	1249	1.0
3914	3728	1.0
3914	475	1.0
3914	9374	1.0
3914	5638	1.0
3914	10730	1.0
3914	12501	1.0
13074	14636	1.0
13074	11028	1.0
13074	15281	1.0
13074	611	1.0
13074	17282	1.0
13074	11149	1.0
13074	16441	1.0
13074	17318	1.0
13074	8426	1.0
13074	1180	1.0
13074	14262	1.0
13074	5852	1.0
13074	1249	1.0
13074	3026	1.0
13074	4077	1.0
13074	1909	1.0
13074	12756	1.0
13074	10500	1.0
13074	6735	1.0
20154	20365	1.0
20154	14673	1.0
17726	17306	1.0
23176	21264	1.0
23176	1249	1.0
23176	22289	1.0
10434	5525	1.0
9545	6652	1.0
8614	4220	1.0
8614	12306	1.0
8614	14567	1.0
8614	18389	1.0
8614	6905	1.0
8614	12569	1.0
6754	5706	1.0
6754	2692	1.0
6754	6247	1.0
17384	18045	1.0
26138	2122	1.0
26138	5300	1.0
24870	6022	1.0
24870	13615	1.0
17727	17408	1.0
17727	18173	1.0
24799	1514	1.0
24799	969	1.0
24799	22734	1.0
24799	25037	1.0
24799	3577	1.0
217	12756	1.0
217	17326	1.0
10005	15241	1.0
10435	13541	1.0
6755	2489	1.0
3915	7852	1.0
218	45	1.0
218	439	1.0
218	81	1.0
17728	8645	1.0
25648	25934	1.0
25648	25935	1.0
25648	22132	1.0
23823	25457	1.0
22265	1249	1.0
22265	24209	1.0
22265	10955	1.0
22265	22146	1.0
22527	20855	1.0
13075	12979	1.0
13075	4095	1.0
2669	8914	1.0
6756	1249	1.0
6756	16796	1.0
6756	13866	1.0
6756	7084	1.0
6756	902	1.0
25464	25753	1.0
25464	24150	1.0
25464	25415	1.0
25464	25760	1.0
25464	23800	1.0
25464	2039	1.0
25464	23150	1.0
25464	23402	1.0
25464	25039	1.0
25464	25757	1.0
25464	24828	1.0
25464	25758	1.0
25464	24839	1.0
25464	25001	1.0
25464	25399	1.0
25464	24867	1.0
25464	24713	1.0
25464	25759	1.0
25464	25762	1.0
25464	24915	1.0
6757	14377	1.0
6757	10047	1.0
6757	12509	1.0
3916	19926	1.0
3916	12093	1.0
3916	2596	1.0
3916	3886	1.0
3916	3548	1.0
3916	20649	1.0
3916	8807	1.0
3916	6584	1.0
3916	4974	1.0
3916	11124	1.0
3916	2039	1.0
3916	1249	1.0
3916	16839	1.0
3916	4948	1.0
219	12239	1.0
6954	5324	1.0
6954	3007	1.0
6954	2191	1.0
6954	1682	1.0
9963	5532	1.0
9963	10740	1.0
16451	15132	1.0
16451	15387	1.0
16451	21108	1.0
16451	3705	1.0
16451	20649	1.0
16451	14090	1.0
16451	7382	1.0
16451	12875	1.0
16451	16898	1.0
16451	15042	1.0
16451	11712	1.0
16451	12597	1.0
16451	21710	1.0
16451	12977	1.0
16451	2530	1.0
16451	19979	1.0
16451	9277	1.0
16451	19868	1.0
16451	10684	1.0
16451	4546	1.0
16451	18470	1.0
16451	13424	1.0
16451	3696	1.0
16451	17686	1.0
3917	2991	1.0
13076	10078	1.0
25697	24418	1.0
25697	23150	1.0
25697	25698	1.0
25697	24639	1.0
25697	24356	1.0
25697	25412	1.0
25697	25699	1.0
25697	25700	1.0
25697	24399	1.0
25697	24529	1.0
25697	25701	1.0
25697	24410	1.0
25698	24948	1.0
25698	24418	1.0
25698	25700	1.0
25698	25701	1.0
25698	25697	1.0
25698	24639	1.0
25698	24410	1.0
25698	24356	1.0
25698	25699	1.0
25698	24529	1.0
3918	4620	1.0
3919	10746	1.0
3919	26318	1.0
3919	14776	1.0
21288	5884	1.0
21288	12252	1.0
21288	3668	1.0
25699	25697	1.0
25699	25698	1.0
25699	25700	1.0
25699	24399	1.0
25699	25701	1.0
25699	24410	1.0
25699	24356	1.0
25699	23150	1.0
25699	24529	1.0
3920	10	1.0
3920	18366	1.0
3920	20383	1.0
3920	7443	1.0
3920	7950	1.0
3920	13699	1.0
3920	272	1.0
3920	9374	1.0
3920	14548	1.0
3920	12737	1.0
3920	5406	1.0
3920	4271	1.0
3920	20373	1.0
3920	7470	1.0
3920	8733	1.0
25700	24418	1.0
25700	25698	1.0
25700	25701	1.0
25700	25697	1.0
25700	24410	1.0
25700	24356	1.0
25700	23150	1.0
25700	25699	1.0
25700	24529	1.0
20199	4572	1.0
9430	7470	1.0
9430	16664	1.0
25701	24418	1.0
25701	25699	1.0
25701	25700	1.0
25701	24399	1.0
25701	25697	1.0
25701	24410	1.0
25701	24356	1.0
25701	25698	1.0
25701	24529	1.0
6759	6537	1.0
6760	6247	1.0
10436	15249	1.0
221	10708	1.0
221	901	1.0
221	1332	1.0
221	835	1.0
221	880	1.0
19305	15155	1.0
19305	6022	1.0
19305	14467	1.0
19563	20456	1.0
19563	880	1.0
13077	17238	1.0
13078	763	1.0
13078	18805	1.0
13078	2737	1.0
13078	14573	1.0
13078	4077	1.0
24170	11778	1.0
3922	6994	1.0
3922	6928	1.0
10439	13576	1.0
10439	3008	1.0
10439	4671	1.0
10439	3063	1.0
10439	13793	1.0
10439	13196	1.0
6761	9453	1.0
8237	20301	1.0
8237	4313	1.0
1105	10067	1.0
10407	5271	1.0
10407	15599	1.0
26446	1188	1.0
1387	8305	1.0
3923	15913	1.0
3924	15576	1.0
3924	7095	1.0
3924	22146	1.0
3924	1249	1.0
13079	12923	1.0
13079	5795	1.0
13079	11766	1.0
13079	14961	1.0
13079	12607	1.0
13079	14206	1.0
13079	6722	1.0
13079	21047	1.0
13079	14784	1.0
13079	16168	1.0
13079	19329	1.0
13079	14868	1.0
13079	13667	1.0
13079	10122	1.0
13079	17768	1.0
13079	11264	1.0
13079	700	1.0
13079	13358	1.0
13079	13237	1.0
15628	18314	1.0
22071	21069	1.0
22071	322	1.0
22071	15118	1.0
22071	11780	1.0
6763	5570	1.0
6763	4919	1.0
6763	6659	1.0
3925	19241	1.0
3925	15304	1.0
3925	12827	1.0
6764	4293	1.0
6764	5270	1.0
6764	21283	1.0
6764	11218	1.0
6764	15585	1.0
6764	23659	1.0
6764	840	1.0
17733	3063	1.0
17405	8508	1.0
10915	15693	1.0
10915	1958	1.0
10915	17206	1.0
10915	16086	1.0
21082	20124	1.0
3312	1249	1.0
3312	6507	1.0
13082	12753	1.0
13083	8319	1.0
13083	1249	1.0
13083	1082	1.0
13083	2080	1.0
13083	5861	1.0
13083	11778	1.0
6765	145	1.0
222	1751	1.0
222	2675	1.0
16401	19799	1.0
10441	9598	1.0
10441	14636	1.0
10441	1713	1.0
10441	4326	1.0
23310	3063	1.0
23310	5300	1.0
23310	1249	1.0
6766	5524	1.0
6766	7391	1.0
6766	8	1.0
23465	23893	1.0
23465	18354	1.0
15629	14272	1.0
25887	22146	1.0
25887	20211	1.0
13084	19265	1.0
13084	6342	1.0
13084	12563	1.0
13084	14562	1.0
13084	16578	1.0
13084	6471	1.0
13084	5884	1.0
13084	6769	1.0
13084	9777	1.0
13084	12258	1.0
13084	5701	1.0
13084	9970	1.0
6767	2429	1.0
6767	1249	1.0
6767	6199	1.0
15630	1249	1.0
15630	9405	1.0
15630	21755	1.0
3926	10018	1.0
3926	12282	1.0
13981	10826	1.0
6768	6721	1.0
6768	6022	1.0
6768	17589	1.0
6768	11778	1.0
24711	23746	1.0
23953	19907	1.0
20934	23168	1.0
20934	7267	1.0
20934	9591	1.0
6769	15927	1.0
6769	300	1.0
6769	9321	1.0
6769	9630	1.0
6769	3056	1.0
6769	7915	1.0
6769	9990	1.0
6769	13293	1.0
6769	26	1.0
6769	11760	1.0
6769	18856	1.0
6769	19858	1.0
6769	10955	1.0
6769	7394	1.0
6769	5978	1.0
6769	21159	1.0
6769	2283	1.0
6769	1249	1.0
6769	6481	1.0
6769	2911	1.0
6769	6401	1.0
6769	2261	1.0
225	10210	1.0
225	5978	1.0
225	3674	1.0
225	1249	1.0
225	1067	1.0
225	10034	1.0
225	1331	1.0
225	4337	1.0
225	5405	1.0
225	4812	1.0
225	2336	1.0
23824	741	1.0
23824	5215	1.0
23824	9061	1.0
23824	19501	1.0
23824	83	1.0
23824	3352	1.0
10442	1880	1.0
10442	1205	1.0
10442	16390	1.0
10442	15325	1.0
3927	15126	1.0
3927	17261	1.0
226	4899	1.0
23784	23211	1.0
3928	16860	1.0
19307	10099	1.0
19307	18571	1.0
22467	6976	1.0
6770	26318	1.0
19690	1740	1.0
19690	9639	1.0
19690	14472	1.0
19690	14573	1.0
19690	12456	1.0
19690	7450	1.0
19690	19362	1.0
19690	18865	1.0
23852	19799	1.0
3929	3567	1.0
20570	10122	1.0
20570	9618	1.0
24191	4599	1.0
24191	2881	1.0
24191	19799	1.0
24191	12744	1.0
24191	7500	1.0
3930	15938	1.0
3930	14674	1.0
3930	21463	1.0
3930	22146	1.0
3930	7165	1.0
3930	1249	1.0
3930	21664	1.0
3930	15024	1.0
3930	10001	1.0
13085	5150	1.0
17734	3662	1.0
3932	17452	1.0
3932	18337	1.0
6772	2316	1.0
6772	265	1.0
3313	437	1.0
3313	11539	1.0
3313	15311	1.0
770	4437	1.0
770	6005	1.0
770	5151	1.0
6773	17956	1.0
6774	9074	1.0
6774	10606	1.0
15606	9321	1.0
15606	6375	1.0
15606	12698	1.0
6775	7077	1.0
6775	26318	1.0
6775	12694	1.0
15631	21265	1.0
15631	10955	1.0
15631	7315	1.0
23901	10817	1.0
11239	11128	1.0
11239	17955	1.0
16736	3276	1.0
13086	18165	1.0
228	1249	1.0
228	7582	1.0
228	3029	1.0
10444	457	1.0
10444	1566	1.0
10444	14141	1.0
10445	1904	1.0
10445	6184	1.0
10445	15989	1.0
10445	10805	1.0
10445	12927	1.0
10445	7732	1.0
10446	11405	1.0
10446	203	1.0
10446	12676	1.0
10446	13632	1.0
17735	10939	1.0
17735	13052	1.0
17735	14781	1.0
3933	6724	1.0
3933	4935	1.0
6913	2279	1.0
22468	8651	1.0
229	3767	1.0
229	185	1.0
24337	1082	1.0
24337	6632	1.0
20868	6721	1.0
20868	11049	1.0
6777	16044	1.0
6777	19344	1.0
17736	9591	1.0
17736	16164	1.0
24233	26093	1.0
8867	11520	1.0
6778	3559	1.0
6778	13291	1.0
6778	2266	1.0
15632	14122	1.0
15632	15588	1.0
232	7454	1.0
5826	13379	1.0
5826	3385	1.0
5826	5428	1.0
25888	2039	1.0
25888	7500	1.0
16927	17993	1.0
16927	14509	1.0
16927	15081	1.0
10448	5972	1.0
6780	5567	1.0
7416	5605	1.0
7416	11269	1.0
7416	12216	1.0
25531	25587	1.0
25531	25498	1.0
25531	25505	1.0
25531	25578	1.0
25531	25582	1.0
25531	25509	1.0
25531	25545	1.0
25531	25568	1.0
25531	25523	1.0
25531	25630	1.0
25531	25623	1.0
25531	25528	1.0
25531	25556	1.0
25531	25600	1.0
25531	25538	1.0
25531	25504	1.0
233	13701	1.0
233	4999	1.0
233	8187	1.0
22528	10603	1.0
22528	11556	1.0
234	5817	1.0
21083	20092	1.0
20155	16331	1.0
20155	11103	1.0
20155	18280	1.0
19944	4850	1.0
15634	4599	1.0
15634	5452	1.0
15634	8453	1.0
24411	24435	1.0
24411	24991	1.0
3936	13767	1.0
3936	1770	1.0
3936	5828	1.0
3936	1377	1.0
3936	9293	1.0
3936	4702	1.0
3936	1267	1.0
3936	12350	1.0
19483	20161	1.0
15635	10646	1.0
15635	8029	1.0
13089	1249	1.0
3314	3264	1.0
3937	11100	1.0
3937	448	1.0
13090	19823	1.0
13090	24046	1.0
13090	10394	1.0
21275	7192	1.0
20467	2039	1.0
3939	1889	1.0
3939	2039	1.0
3940	1249	1.0
3940	4009	1.0
3941	9859	1.0
3941	3072	1.0
25218	25298	1.0
3944	4678	1.0
26224	6498	1.0
10450	1269	1.0
10450	1249	1.0
10450	7952	1.0
10450	11720	1.0
771	5704	1.0
771	14548	1.0
771	13863	1.0
235	2429	1.0
235	4917	1.0
235	45	1.0
235	2866	1.0
235	433	1.0
12946	8879	1.0
12946	10181	1.0
17739	14475	1.0
3946	6022	1.0
3946	13826	1.0
3946	8971	1.0
3946	8439	1.0
3946	15671	1.0
6782	5946	1.0
18836	1249	1.0
3947	3322	1.0
3947	6167	1.0
3947	3743	1.0
25533	25587	1.0
25533	25518	1.0
25533	25498	1.0
25533	25505	1.0
25533	25578	1.0
25533	25582	1.0
25533	25509	1.0
25533	25545	1.0
25533	25568	1.0
25533	25523	1.0
25533	25630	1.0
25533	25524	1.0
25533	25623	1.0
25533	25528	1.0
25533	25602	1.0
25533	25611	1.0
25533	25600	1.0
25533	25538	1.0
15636	15191	1.0
3948	15298	1.0
19580	6721	1.0
19580	7801	1.0
19580	1249	1.0
19580	20411	1.0
19580	15393	1.0
19581	10483	1.0
10451	10080	1.0
10451	1249	1.0
10451	12893	1.0
24292	1249	1.0
24292	2737	1.0
20457	1269	1.0
20457	17955	1.0
20457	11913	1.0
20457	20096	1.0
20457	19031	1.0
20457	12424	1.0
9967	6561	1.0
22266	5842	1.0
237	11389	1.0
237	1249	1.0
237	10495	1.0
237	8929	1.0
6783	8452	1.0
6783	7443	1.0
6783	15141	1.0
10452	1481	1.0
17740	1249	1.0
3951	14652	1.0
3951	8913	1.0
239	9116	1.0
239	1249	1.0
239	10666	1.0
239	1854	1.0
239	641	1.0
239	5861	1.0
6784	15456	1.0
6784	7289	1.0
6784	4573	1.0
13091	19096	1.0
13091	14703	1.0
13091	4560	1.0
21205	19907	1.0
21205	14452	1.0
21205	1322	1.0
21205	11586	1.0
21205	12768	1.0
15637	16995	1.0
13092	17493	1.0
13092	1249	1.0
13092	13816	1.0
13092	14974	1.0
13092	2585	1.0
13092	924	1.0
13092	4079	1.0
13092	3595	1.0
13092	3697	1.0
6785	15033	1.0
6786	7205	1.0
6786	7470	1.0
240	10426	1.0
241	14267	1.0
241	6179	1.0
241	4487	1.0
241	11202	1.0
241	577	1.0
241	7834	1.0
241	2689	1.0
241	11079	1.0
3952	2130	1.0
3952	3319	1.0
22340	5300	1.0
22340	5710	1.0
22340	22146	1.0
22340	21801	1.0
22820	17347	1.0
4350	8548	1.0
3953	19082	1.0
3953	3624	1.0
3953	13258	1.0
3953	17071	1.0
3953	2118	1.0
10455	2250	1.0
10455	5972	1.0
3954	1249	1.0
26304	1249	1.0
24362	4599	1.0
24362	22146	1.0
21384	3393	1.0
15638	11290	1.0
15638	15241	1.0
10456	4599	1.0
10456	6022	1.0
10456	4619	1.0
10456	6498	1.0
13095	1110	1.0
13095	13425	1.0
13095	6256	1.0
10457	1249	1.0
13097	1824	1.0
13098	11595	1.0
21633	1249	1.0
21633	21628	1.0
12294	17867	1.0
12294	13692	1.0
12294	19914	1.0
12294	18015	1.0
12294	2574	1.0
25774	25399	1.0
3955	2041	1.0
3955	2039	1.0
3955	12647	1.0
9403	1740	1.0
9403	5846	1.0
9403	5972	1.0
9403	19362	1.0
26454	14796	1.0
26454	2117	1.0
26454	12212	1.0
6787	1330	1.0
6787	1620	1.0
6788	11176	1.0
6788	8621	1.0
6788	3566	1.0
6788	5329	1.0
6788	11034	1.0
25219	25182	1.0
17742	8506	1.0
17742	2737	1.0
17742	16391	1.0
6789	17472	1.0
6789	1751	1.0
6789	6321	1.0
6789	14043	1.0
6789	8640	1.0
6789	17267	1.0
26337	1249	1.0
20588	19320	1.0
17744	7130	1.0
17745	19463	1.0
17745	21277	1.0
17745	2070	1.0
24338	23211	1.0
21212	19605	1.0
10458	10557	1.0
13959	1249	1.0
3957	17651	1.0
3957	1609	1.0
3957	7470	1.0
15639	16452	1.0
10459	10460	1.0
10459	20396	1.0
10414	437	1.0
3958	1249	1.0
13056	2440	1.0
2676	3750	1.0
2676	6752	1.0
2676	2039	1.0
2676	13448	1.0
2676	4781	1.0
2676	18617	1.0
2676	5472	1.0
19309	595	1.0
21070	14403	1.0
15640	5797	1.0
22639	15265	1.0
243	10076	1.0
243	7933	1.0
